mjn-u-cz1 1744560866 56.3
mjn-cz-noise-3 1744560866 61.5
mjn-test-1 1744560910 51.2
mjn-cz-noise-3 1744560924 61
mjn-u-cz1 1744560926 61.6
mjn-test-1 1744560980 57.1
mjn-cz-noise-3 1744560985 65.6
mjn-u-cz1 1744560989 60.8
mjn-test-1 1744561032 57.9
mjn-u-cz1 1744561045 59.6
mjn-cz-noise-3 1744561048 65.7
mjn-test-1 1744561093 52.2
mjn-cz-noise-3 1744561104 64.2
mjn-u-cz1 1744561109 62.9
mjn-test-1 1744561149 55.6
mjn-cz-noise-3 1744561164 60.6
mjn-u-cz1 1744561167 58.8
mjn-test-1 1744561212 54
mjn-cz-noise-3 1744561225 75.3
mjn-u-cz1 1744561235 61.4
mjn-test-1 1744561278 53
mjn-u-cz1 1744561286 57.7
mjn-cz-noise-3 1744561290 59.6
mjn-test-1 1744561332 64.7
mjn-u-cz1 1744561346 53.6
mjn-cz-noise-3 1744561348 63.4
mjn-test-1 1744561392 50.6
mjn-cz-noise-3 1744561404 58.1
mjn-u-cz1 1744561409 55.7
mjn-test-1 1744561451 57.1
mjn-cz-noise-3 1744561467 64
mjn-u-cz1 1744561467 63.5
mjn-test-1 1744561517 51.2
mjn-cz-noise-3 1744561528 62.4
mjn-test-1 1744561573 53.8
mjn-u-cz1 1744561587 56.2
mjn-cz-noise-3 1744561588 58.9
mjn-test-1 1744561629 50.7
mjn-u-cz1 1744561645 62.3
mjn-cz-noise-3 1744561645 60.6
mjn-cz-noise-3 1744561704 55.4
mjn-u-cz1 1744561705 61.6
mjn-cz-noise-3 1744561766 63.7
mjn-u-cz1 1744561769 68.3
mjn-u-cz1 1744561828 60.8
mjn-cz-noise-3 1744561828 62.5
mjn-test-1 1744561871 52.5
mjn-u-cz1 1744561887 52.7
mjn-cz-noise-3 1744561888 60.7
mjn-test-1 1744561933 56.1
mjn-cz-noise-3 1744561951 59.8
mjn-test-1 1744561992 52.3
mjn-cz-noise-3 1744562004 59.1
mjn-u-cz1 1744562006 58.2
mjn-test-1 1744562053 60.8
mjn-u-cz1 1744562067 59
mjn-cz-noise-3 1744562068 58.7
mjn-test-1 1744562111 56.9
mjn-cz-noise-3 1744562126 60.8
mjn-u-cz1 1744562129 55.2
mjn-test-1 1744562178 49.6
mjn-cz-noise-3 1744562186 59.8
mjn-u-cz1 1744562188 58.6
mjn-test-1 1744562236 53.4
mjn-u-cz1 1744562246 71.5
mjn-cz-noise-3 1744562250 62.9
mjn-test-1 1744562290 45.1
mjn-u-cz1 1744562306 61.5
mjn-test-1 1744562352 46.8
mjn-cz-noise-3 1744562365 57.4
mjn-u-cz1 1744562369 63.8
mjn-test-1 1744562411 50.5
mjn-cz-noise-3 1744562428 59.9
mjn-u-cz1 1744562434 49.8
mjn-test-1 1744562470 51.7
mjn-cz-noise-3 1744562490 61
mjn-u-cz1 1744562491 54.9
mjn-test-1 1744562533 59.8
mjn-cz-noise-3 1744562552 57.7
mjn-test-1 1744562591 54.8
mjn-u-cz1 1744562605 58.6
mjn-cz-noise-3 1744562607 62.1
mjn-test-1 1744562660 50.8
mjn-u-cz1 1744562671 53.7
mjn-cz-noise-3 1744562673 61.5
mjn-test-1 1744562711 54.3
mjn-cz-noise-3 1744562727 57.2
mjn-u-cz1 1744562729 68.3
mjn-u-cz1 1744562785 55.4
mjn-cz-noise-3 1744562788 61.5
mjn-test-1 1744562833 49.3
mjn-u-cz1 1744562845 57.1
mjn-cz-noise-3 1744562848 63.2
mjn-test-1 1744562891 55.6
mjn-u-cz1 1744562908 61.8
mjn-cz-noise-3 1744562910 60.5
mjn-cz-noise-3 1744562965 61.1
mjn-u-cz1 1744562969 61.6
mjn-test-1 1744563010 56.7
mjn-u-cz1 1744563028 53
mjn-cz-noise-3 1744563088 60.5
mjn-u-cz1 1744563089 55
mjn-test-1 1744563138 50.4
mjn-cz-noise-3 1744563146 60.2
mjn-test-1 1744563199 55
mjn-u-cz1 1744563206 58.8
mjn-cz-noise-3 1744563207 57.7
mjn-cz-noise-3 1744563263 61.9
mjn-u-cz1 1744563265 68
mjn-test-1 1744563316 51
mjn-cz-noise-3 1744563323 59.9
mjn-u-cz1 1744563327 58.2
mjn-u-cz1 1744563388 72.9
mjn-cz-noise-3 1744563391 66.4
mjn-test-1 1744563432 54.5
mjn-cz-noise-3 1744563446 51.8
mjn-u-cz1 1744563453 58.6
mjn-test-1 1744563496 62.5
mjn-cz-noise-3 1744563504 61.5
mjn-u-cz1 1744563511 63.8
mjn-test-1 1744563558 46.2
mjn-cz-noise-3 1744563567 60.5
mjn-u-cz1 1744563569 54
mjn-test-1 1744563617 49.7
mjn-u-cz1 1744563627 53.7
mjn-cz-noise-3 1744563628 65.2
mjn-cz-noise-3 1744563684 56.5
mjn-u-cz1 1744563688 54.3
mjn-test-1 1744563730 52.8
mjn-cz-noise-3 1744563744 56.2
mjn-u-cz1 1744563749 57.1
mjn-test-1 1744563793 50.1
mjn-u-cz1 1744563807 60.3
mjn-cz-noise-3 1744563808 61
mjn-test-1 1744563852 54.5
mjn-u-cz1 1744563865 57.3
mjn-cz-noise-3 1744563868 61.2
mjn-test-1 1744563912 55.7
